yemen_unscaled,yemen_monthly,isPartial,scale,yemen
0,50.0,False,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
100,50.0,,0.5,50.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,50.0,,0.5,0.0
0,49.0,False,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
100,49.0,,0.49,49.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,49.0,,0.49,0.0
0,30.0,False,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
100,30.0,,0.3,30.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,30.0,,0.3,0.0
0,29.0,False,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
100,29.0,,0.29,28.999999999999996
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
0,29.0,,0.29,0.0
